,Date,Day,Season,Team,Opp,Site,P1,P2,P3,Final,Line,Total,SUm,SUr,OUr,ot
0,2021-01-13 00:00:00,Wednesday,2020,Oilers,Canucks,home,0-1,1-1,2-3,3-5,-125,6.0,-2.0,L,O,0.0
1,2021-01-13 00:00:00,Wednesday,2020,Canucks,Oilers,away,1-0,1-1,3-2,5-3,105,6.0,2.0,W,O,0.0
2,2021-01-13 00:00:00,Wednesday,2020,Avalanche,Blues,home,1-2,0-0,0-2,1-4,-150,6.0,-3.0,L,U,0.0
3,2021-01-13 00:00:00,Wednesday,2020,Blues,Avalanche,away,2-1,0-0,2-0,4-1,130,6.0,3.0,W,U,0.0
4,2021-01-13 00:00:00,Wednesday,2020,Flyers,Penguins,home,2-1,1-1,3-1,6-3,-105,6.0,3.0,W,O,0.0
5,2021-01-13 00:00:00,Wednesday,2020,Penguins,Flyers,away,1-2,1-1,1-3,3-6,-105,6.0,-3.0,L,O,0.0
6,2021-01-13 00:00:00,Wednesday,2020,Lightning,Blackhawks,home,3-0,1-0,1-1,5-1,-256,6.5,4.0,W,U,0.0
7,2021-01-13 00:00:00,Wednesday,2020,Blackhawks,Lightning,away,0-3,0-1,1-1,1-5,220,6.5,-4.0,L,U,0.0
8,2021-01-13 00:00:00,Wednesday,2020,Maple Leafs,Canadiens,home,1-2,2-1,1-1,5-4,-145,6.0,1.0,W,O,1.0
9,2021-01-13 00:00:00,Wednesday,2020,Canadiens,Maple Leafs,away,2-1,1-2,1-1,4-5,131,6.0,-1.0,L,O,1.0
10,2021-01-14 00:00:00,Thursday,2020,Predators,Blue Jackets,home,0-1,1-0,2-0,3-1,-120,5.5,2.0,W,U,0.0
11,2021-01-14 00:00:00,Thursday,2020,Blue Jackets,Predators,away,1-0,0-1,0-2,1-3,109,5.5,-2.0,L,U,0.0
12,2021-01-14 00:00:00,Thursday,2020,Jets,Flames,home,1-3,2-0,0-0,4-3,105,5.5,1.0,W,O,1.0
13,2021-01-14 00:00:00,Thursday,2020,Flames,Jets,away,3-1,0-2,0-0,3-4,-116,5.5,-1.0,L,O,1.0
14,2021-01-14 00:00:00,Thursday,2020,Oilers,Canucks,home,2-0,2-2,1-0,5-2,-130,6.0,3.0,W,O,0.0
15,2021-01-14 00:00:00,Thursday,2020,Canucks,Oilers,away,0-2,2-2,0-1,2-5,118,6.0,-3.0,L,O,0.0
16,2021-01-14 00:00:00,Thursday,2020,Coyotes,Sharks,home,0-2,1-0,2-1,3-4,-135,5.5,-1.0,L,O,1.0
17,2021-01-14 00:00:00,Thursday,2020,Sharks,Coyotes,away,2-0,0-1,1-2,4-3,115,5.5,1.0,W,O,1.0
18,2021-01-14 00:00:00,Thursday,2020,Sabres,Capitals,home,1-2,1-2,2-2,4-6,110,6.0,-2.0,L,O,0.0
19,2021-01-14 00:00:00,Thursday,2020,Capitals,Sabres,away,2-1,2-1,2-2,6-4,-130,6.0,2.0,W,O,0.0
20,2021-01-14 00:00:00,Thursday,2020,Devils,Bruins,home,0-1,0-0,2-1,2-3,165,5.5,-1.0,L,U,1.0
21,2021-01-14 00:00:00,Thursday,2020,Bruins,Devils,away,1-0,0-0,1-2,3-2,-185,5.5,1.0,W,U,1.0
22,2021-01-14 00:00:00,Thursday,2020,Rangers,Islanders,home,0-3,0-1,0-0,0-4,-110,6.0,-4.0,L,U,0.0
23,2021-01-14 00:00:00,Thursday,2020,Islanders,Rangers,away,3-0,1-0,0-0,4-0,-110,6.0,4.0,W,U,0.0
24,2021-01-14 00:00:00,Thursday,2020,Red Wings,Hurricanes,home,0-1,0-0,0-2,0-3,185,6.0,-3.0,L,U,0.0
25,2021-01-14 00:00:00,Thursday,2020,Hurricanes,Red Wings,away,1-0,0-0,2-0,3-0,-225,6.0,3.0,W,U,0.0
26,2021-01-14 00:00:00,Thursday,2020,Knights,Ducks,home,2-2,0-0,3-0,5-2,-230,6.0,3.0,W,O,0.0
27,2021-01-14 00:00:00,Thursday,2020,Ducks,Knights,away,2-2,0-0,0-3,2-5,198,6.0,-3.0,L,O,0.0
28,2021-01-14 00:00:00,Thursday,2020,Kings,Wild,home,1-1,2-0,0-2,3-4,120,5.5,-1.0,L,O,1.0
29,2021-01-14 00:00:00,Thursday,2020,Wild,Kings,away,1-1,0-2,2-0,4-3,-140,5.5,1.0,W,O,1.0
30,2021-01-15 00:00:00,Friday,2020,Avalanche,Blues,home,0-0,4-0,4-0,8-0,-140,5.5,8.0,W,O,0.0
31,2021-01-15 00:00:00,Friday,2020,Blues,Avalanche,away,0-0,0-4,0-4,0-8,127,5.5,-8.0,L,O,0.0
32,2021-01-15 00:00:00,Friday,2020,Sabres,Capitals,home,0-0,0-1,1-1,1-2,100,6.0,-1.0,L,U,0.0
33,2021-01-15 00:00:00,Friday,2020,Capitals,Sabres,away,0-0,1-0,1-1,2-1,-120,6.0,1.0,W,U,0.0
34,2021-01-15 00:00:00,Friday,2020,Flyers,Penguins,home,3-2,0-0,2-0,5-2,-105,6.0,3.0,W,O,0.0
35,2021-01-15 00:00:00,Friday,2020,Penguins,Flyers,away,2-3,0-0,0-2,2-5,-105,6.0,-3.0,L,O,0.0
36,2021-01-15 00:00:00,Friday,2020,Lightning,Blackhawks,home,0-0,3-2,2-0,5-2,-255,6.5,3.0,W,O,0.0
37,2021-01-15 00:00:00,Friday,2020,Blackhawks,Lightning,away,0-0,2-3,0-2,2-5,219,6.5,-3.0,L,O,0.0
38,2021-01-15 00:00:00,Friday,2020,Senators,Maple Leafs,home,1-1,3-1,1-1,5-3,180,6.5,2.0,W,O,0.0
39,2021-01-15 00:00:00,Friday,2020,Maple Leafs,Senators,away,1-1,1-3,1-1,3-5,-200,6.5,-2.0,L,O,0.0
40,2021-01-16 00:00:00,Saturday,2020,Predators,Blue Jackets,home,1-1,0-0,4-1,5-2,-115,5.5,3.0,W,O,0.0
41,2021-01-16 00:00:00,Saturday,2020,Blue Jackets,Predators,away,1-1,0-0,1-4,2-5,104,5.5,-3.0,L,O,0.0
42,2021-01-16 00:00:00,Saturday,2020,Flames,Canucks,home,1-0,1-0,1-0,3-0,-140,6.5,3.0,W,U,0.0
