,Date,Streak,Date_diff,Day,TeamChange,Team,Home_City,Opp,Opp_City,Site,Road_Trip,Home_Stand,Final,Line,Total,SUm,SUr,OUr,ot,Distance
0,2021-01-13,1,0,Wednesday,False,Avalanche,Denver,Blues,St. Louis,home,0,1,1-4,-150,6.0,-3,L,U,0,0.0
1,2021-01-15,2,2,Friday,False,Avalanche,Denver,Blues,St. Louis,home,0,2,8-0,-140,5.5,8,W,O,0,0.0
2,2021-01-19,0,4,Tuesday,False,Avalanche,Denver,Kings,Los Angeles,away,1,0,3-2,-238,6.0,1,W,U,0,1337.6087725135333
3,2021-01-21,0,2,Thursday,False,Avalanche,Denver,Kings,Los Angeles,away,2,0,2-4,-243,5.5,-2,L,O,0,1337.6087725135333
4,2021-01-22,0,1,Friday,False,Avalanche,Denver,Ducks,Anaheim,away,3,0,3-2,-185,5.5,1,W,U,1,1324.9561495148268
5,2021-01-24,0,2,Sunday,False,Avalanche,Denver,Ducks,Anaheim,away,4,0,1-3,-189,5.5,-2,L,U,0,1324.9561495148268
6,2021-01-26,1,2,Tuesday,False,Avalanche,Denver,Sharks,San Jose,home,0,1,7-3,-210,6.0,4,W,O,0,0.0
7,2021-01-28,2,2,Thursday,False,Avalanche,Denver,Sharks,San Jose,home,0,2,3-0,-230,6.0,3,W,U,0,0.0
8,2021-01-31,0,3,Sunday,False,Avalanche,Denver,Wild,St. Paul,away,1,0,3-4,-133,5.5,-1,L,O,1,1135.8067358091375
9,2021-02-02,1,2,Tuesday,False,Avalanche,Denver,Wild,St. Paul,home,0,1,2-1,-160,5.5,1,W,U,0,0.0
10,2021-02-14,0,12,Sunday,False,Avalanche,Denver,Knights,Las Vegas,away,1,0,0-1,-105,5.5,-1,L,U,0,976.519709072518
11,2021-02-16,0,2,Tuesday,False,Avalanche,Denver,Knights,Las Vegas,away,2,0,3-2,109,5.5,1,W,U,0,976.519709072518
12,2021-02-20,1,4,Saturday,False,Avalanche,Denver,Knights,Las Vegas,home,0,1,3-2,-115,5.5,1,W,U,0,0.0
13,2021-02-22,2,2,Monday,False,Avalanche,Denver,Knights,Las Vegas,home,0,2,0-3,-135,5.5,-3,L,U,0,0.0
14,2021-02-24,3,2,Wednesday,False,Avalanche,Denver,Wild,St. Paul,home,0,3,2-6,-175,5.5,-4,L,O,0,0.0
15,2021-02-26,0,2,Friday,False,Avalanche,Denver,Coyotes,Glendale,away,1,0,3-2,-170,5.5,1,W,U,0,1332.5581355891486
16,2021-02-27,0,1,Saturday,False,Avalanche,Denver,Coyotes,Glendale,away,2,0,6-2,-170,5.5,4,W,O,0,1332.5581355891486
17,2021-01-13,0,0,Wednesday,True,Blackhawks,Chicago,Lightning,Tampa,away,1,0,1-5,220,6.5,-4,L,U,0,1614.8198275569168
18,2021-01-15,0,2,Friday,False,Blackhawks,Chicago,Lightning,Tampa,away,2,0,2-5,219,6.5,-3,L,O,0,1614.8198275569168
19,2021-01-17,0,2,Sunday,False,Blackhawks,Chicago,Panthers,Sunrise,away,3,0,2-5,136,6.5,-3,L,O,0,1868.0478380571535
20,2021-01-19,0,2,Tuesday,False,Blackhawks,Chicago,Panthers,Sunrise,away,4,0,4-5,140,6.5,-1,L,O,1,1868.0478380571535
21,2021-01-22,1,3,Friday,False,Blackhawks,Chicago,Red Wings,Detroit,home,0,1,4-1,-130,6.0,3,W,U,0,0.0
22,2021-01-27,0,5,Wednesday,False,Blackhawks,Chicago,Predators,Nashville,away,1,0,1-2,158,6.0,-1,L,U,1,638.5191096738978
23,2021-01-29,1,2,Friday,False,Blackhawks,Chicago,Blue Jackets,Columbus,home,0,1,1-2,105,5.5,-1,L,U,0,0.0
24,2021-01-31,2,2,Sunday,False,Blackhawks,Chicago,Blue Jackets,Columbus,home,0,2,3-1,100,5.5,2,W,U,0,0.0
25,2021-02-02,3,2,Tuesday,False,Blackhawks,Chicago,Hurricanes,Raleigh,home,0,3,3-4,145,6.0,-1,L,O,1,0.0
