,City,Team,Citypoint,Shortname,code
0,Anaheim,Ducks,"33 50m 5.10576s N, 117 54m 42.2352s W",Ana,ana
1,Boston,Bruins,"42 21m 36.9122s N, 71 3m 29.8483s W",Bos,bos
2,Buffalo,Sabres,"42 53m 12.1798s N, 78 52m 42.2119s W",Buf,buf
3,Calgary,Flames,"51 3m 12.3242s N, 114 3m 45.3211s W",Cal,cgy
4,Chicago,Blackhawks,"41 52m 32.0218s N, 87 37m 27.9163s W",Chi,chi
5,Columbus,Blue Jackets,"39 57m 44.1364s N, 83 0m 2.5434s W",Col,cbj
6,Dallas,Stars,"32 46m 34.5788s N, 96 47m 48.6812s W",Dal,dal
7,Denver,Avalanche,"39 44m 21.251s N, 104 59m 5.50428s W",Den,col
8,Detroit,Red Wings,"42 19m 53.5832s N, 83 2m 47.9051s W",Det,det
9,Edmonton,Oilers,"53 32m 7.4796s N, 113 30m 28.7856s W",Edm,edm
10,Phoenix,Coyotes,"33 26m 54.3721s N, 112 4m 26.9101s W",Pho,ari
11,Las Vegas,Knights,"36 10m 2.12124s N, 115 8m 54.6587s W",Las,vgs
12,Los Angeles,Kings,"34 3m 13.2872s N, 118 14m 33.9576s W",Los,la
13,Montreal,Canadiens,"45 29m 49.9772s N, 73 36m 37.3111s W",Mon,mtl
14,Nashville,Predators,"36 9m 44.0266s N, 86 46m 27.6712s W",Nas,nsh
15,New York,Rangers,"40 42m 45.8212s N, 74 0m 21.6547s W",New,nyr
16,Newark,Devils,"40 44m 8.3652s N, 74 10m 20.5201s W",New,nj
17,Ottawa,Senators,"45 25m 15.9816s N, 75 41m 25.1088s W",Ott,ott
18,Philadelphia,Flyers,"39 57m 9.80532s N, 75 9m 48.6943s W",Phi,phi
19,Pittsburgh,Penguins,"40 26m 30.0988s N, 79 59m 24.31s W",Pit,pit
20,Raleigh,Hurricanes,"35 46m 49.4317s N, 78 38m 20.756s W",Ral,car
21,San Jose,Sharks,"37 20m 10.2858s N, 121 53m 26.0988s W",San,sj
22,St. Louis,Blues,"38 39m 10.6362s N, 90 14m 28.0196s W",St.,stl
23,St. Paul,Wild,"44 57m 1.45332s N, 93 6m 5.40936s W",St.,min
24,Sunrise,Panthers,"26 10m 0.07968s N, 80 16m 43.5263s W",Sun,fla
25,Tampa,Lightning,"27 56m 51.9342s N, 82 27m 30.3984s W",Tam,tb
26,Toronto,Maple Leafs,"43 39m 12.5341s N, 79 23m 2.16492s W",Tor,tor
27,Uniondale,Islanders,"40 42m 11.2014s N, 73 35m 22.2603s W",Uni,nyi
28,Vancouver,Canucks,"49 15m 39.1406s N, 123 6m 50.2304s W",Van,van
29,Washington,Capitals,"38 53m 41.9726s N, 77 2m 11.6092s W",Was,wsh
30,Winnipeg,Jets,"49 53m 43.9321s N, 97 8m 18.4502s W",Win,wpg
